# The file for storing data from Mass-Spring-Damper simulation with the PID Controller.
# time 	 	 data
0.1 	 	 1
0.2 	 	 1.05467
0.3 	 	 1.16272
0.4 	 	 1.32228
0.5 	 	 1.53089
0.6 	 	 1.78558
0.7 	 	 2.08286
0.8 	 	 2.41887
0.9 	 	 2.78932
1 	 	 3.18964
1.1 	 	 3.61499
1.2 	 	 4.06033
1.3 	 	 4.52051
1.4 	 	 4.9903
1.5 	 	 5.46448
1.6 	 	 5.93788
1.7 	 	 6.40544
1.8 	 	 6.8623
1.9 	 	 7.3038
2 	 	 7.72558
2.1 	 	 8.1236
2.2 	 	 8.49416
2.3 	 	 8.834
2.4 	 	 9.14026
2.5 	 	 9.41054
2.6 	 	 9.64291
2.7 	 	 9.83592
2.8 	 	 9.98861
2.9 	 	 10.1005
3 	 	 10.1717
3.1 	 	 10.2026
3.2 	 	 10.1941
3.3 	 	 10.1477
3.4 	 	 10.0652
3.5 	 	 9.94874
3.6 	 	 9.80081
3.7 	 	 9.62426
3.8 	 	 9.4222
3.9 	 	 9.19794
4 	 	 8.95501
4.1 	 	 8.69703
4.2 	 	 8.42776
4.3 	 	 8.15096
4.4 	 	 7.87043
4.5 	 	 7.5899
4.6 	 	 7.31301
4.7 	 	 7.0433
4.8 	 	 6.78411
4.9 	 	 6.53861
5 	 	 6.30971
5.1 	 	 6.10006
5.2 	 	 5.91203
5.3 	 	 5.74768
5.4 	 	 5.60874
5.5 	 	 5.49658
5.6 	 	 5.41226
5.7 	 	 5.35645
5.8 	 	 5.32949
5.9 	 	 5.33136
6 	 	 5.36169
6.1 	 	 5.4198
6.2 	 	 5.50468
6.3 	 	 5.61503
6.4 	 	 5.74928
6.5 	 	 5.9056
6.6 	 	 6.08196
6.7 	 	 6.2761
6.8 	 	 6.48564
6.9 	 	 6.70803
7 	 	 6.94066
7.1 	 	 7.18083
7.2 	 	 7.4258
7.3 	 	 7.67287
7.4 	 	 7.91933
7.5 	 	 8.16257
7.6 	 	 8.40003
7.7 	 	 8.62933
7.79999 	 	 8.84818
7.89999 	 	 9.05449
7.99999 	 	 9.24636
8.09999 	 	 9.4221
8.2 	 	 9.58022
8.3 	 	 9.71951
8.4 	 	 9.83897
8.5 	 	 9.93786
8.6 	 	 10.0157
8.7 	 	 10.0723
8.8 	 	 10.1076
8.9 	 	 10.122
9 	 	 10.116
9.1 	 	 10.0902
9.2 	 	 10.0456
9.3 	 	 9.98344
9.4 	 	 9.90498
9.5 	 	 9.81172
9.6 	 	 9.70528
9.7 	 	 9.58741
9.8 	 	 9.45993
9.9 	 	 9.32476
10 	 	 9.18385
